#txt_path		texture id											
[BACKGROUND]
Scene5/mapping.txt	70												
[OBJECTS]
#object	grid_x	grid_y	x	y	w	h	nx	type	item_id				
#brick													
1	0	0	32	160	64	16	0	0	0				
1	0	0	128	96	32	32	0	0	0				
1	0	0	0	0	32	192	0	0	0				
1	0	0	160	160	96	16	0	0	0				
1	0	0	224	96	32	16	0	0	0				
1	0	1	256	160	64	16	0	0	0				
1	0	1	352	160	32	16	0	0	0				
1	0	1	416	128	32	16	0	0	0				
1	0	1	448	160	32	16	0	0	0				
1	0	1	480	112	32	16	0	0	0				
1	0	2	480	176	64	16	0	0	0				
1	0	2	544	96	32	16	0	0	0				
1	0	2	608	160	64	16	0	0	0				
1	0	2	672	144	32	16	0	0	0				
1	0	2	704	112	32	16	0	0	0				
1	0	2	736	0	32	80	0	0	0				
1	0	2	736	128	32	64	0	0	0				
#firepillars													
2	0	0	156	48	0	0	0	0	2				
2	0	0	220	128	0	0	0	0	1				
2	0	1	284	128	0	0	0	0	1				
2	0	1	348	128	0	0	0	0	1				
2	0	1	412	96	0	0	0	0	1				
2	0	1	476	144	0	0	0	0	1				
2	0	2	540	144	0	0	0	0	1				
2	0	2	604	128	0	0	0	0	4				
2	0	2	668	128	0	0	0	0	1				
2	0	2	732	80	0	0	0	0	1				
#stairs													
4	0	0	56	159.5	0	0	1	0	0				
3	0	0	56	114	0	0	-1	0	0				
3	0	0	120	50	0	0	1	0	0				
4	0	1	376	159	0	0	1	0	0				
3	0	1	408	82	0	0	1	0	0				
4	0	2	632	159	0	0	-1	0	0				
3	0	2	568	50	0	0	-1	0	0				
#enemies													
9	0	0	102	48	200	0	1	0	0				
11	0	0	272	32	0	0	-1	0	0				
11	0	1	416	80	0	0	-1	0	0				
11	0	1	464	48	0	0	-1	0	0				
12	0	1	368	127.9	0	0	-1	0	0
12	0	2	700	127.9	0	0	-1	0	0
#portal													
50	0	0	80	192	10	10	0	4	0	88	8	1	70
50	0	2	752	80	16	48	0	6	0	40	48	1	0
